"Date","Predicted_Infected_non_cum","Predicted_recovered_non_cum","Actual_Infected_Non_cum","Actual_Recoverd_Non_cum"
2020-04-01,24.4614660010436,0,0,0
2020-04-02,19.3147518787988,0,67,2
2020-04-03,15.8688332992818,2.57613960130325,167,0
2020-04-04,13.6329508347222,5.347395541921,59,7
2020-04-05,12.2629144479626,7.58427380012591,58,3
2020-04-06,11.5181117641721,9.468971293625,20,1
2020-04-07,11.2307601422607,11.1314744257727,53,2
2020-04-08,11.2842604455176,12.6653133779954,93,0
2020-04-09,11.5982338705233,14.1384719043359,51,4
2020-04-10,12.1179424059869,15.6011209809713,183,0
2020-04-11,12.8066247578251,17.0912439430757,166,0
2020-04-12,13.6404817651108,18.638343167988,85,2
2020-04-13,14.6049380984868,20.2662270837057,407,3
2020-04-14,15.6920333055138,21.9949857430909,NA,NA
2020-04-15,16.8987695026913,23.8422722330232,NA,NA
2020-04-16,18.225637822509,25.8244740653569,NA,NA
2020-04-17,19.675998900507,27.9572600649419,NA,NA
2020-04-18,21.255409034393,30.256188348853,NA,NA
2020-04-19,22.9711469518233,32.737132223093,NA,NA
2020-04-20,24.8321396443401,35.4165738041384,NA,NA
2020-04-21,26.848628786563,38.3118281265081,NA,NA
2020-04-22,29.032136810249,41.4412908882024,NA,NA
2020-04-23,31.3955317990624,44.8246184520401,NA,NA
2020-04-24,NA,NA,NA,NA
