"Date","Predicted_Infected_non_cum","Predicted_recovered_non_cum","Actual_Infected_Non_cum","Actual_Recoverd_Non_cum","Actual_Exposed_Non_cum","Predicted_Exposed_non_cum"
2020-04-01,54.2058736974375,11.4628181431126,0,0,19,0
2020-04-02,46.020597793702,14.7836237886249,67,2,0,0
2020-04-03,40.9106911855257,17.6669977958308,167,0,0,0
2020-04-04,38.016272187104,20.2874483853544,59,7,0,2.55628199774901
2020-04-05,36.735896502833,22.7715385362959,58,3,128,8.80428833046165
2020-04-06,36.6520903198249,25.2120577296294,20,1,141,13.7684986642868
2020-04-07,37.4760614902456,27.6785687225685,53,2,29,17.87681209368
2020-04-08,39.0101449527168,30.2246062482161,93,0,256,21.4339423798259
2020-04-09,41.1216002046643,32.8927334493845,51,4,5,24.6577326324017
2020-04-10,43.7230804948847,35.7183459019362,183,0,0,27.7062934484803
2020-04-11,46.7601940071271,38.7321411070965,166,0,0,30.6953799885096
2020-04-12,50.2020768182848,41.962027200926,85,2,0,33.7116356134438
2020-04-13,54.0351605446824,45.4344373727197,356,3,0,36.8214521376657
2020-04-14,58.2584378392409,49.1753744118578,51,0,58,40.0777923222911
2020-04-15,62.880684992547,53.2110934374655,17,10,0,43.5243314837778
2020-04-16,67.9182306208852,57.5686927683142,62,11,0,47.1988690976319
2020-04-17,73.3935013977335,62.2765770134256,67,21,0,51.1357075074512
2020-04-18,79.3341233061298,67.3648290032452,186,0,0,55.3672925248067
2020-04-19,85.7724160089481,72.8655182718526,110,0,0,59.9253337159321
2020-04-20,92.7449512947705,78.8130204045957,78,359,99,64.8418819006446
2020-04-21,100.292476578379,85.2443028134663,75,180,390,70.1499738618267
2020-04-22,108.459902703726,92.199183890742,92,113,212,75.8841593069898
2020-04-23,117.296247845781,99.720553961623,128,84,0,82.0809949953499
2020-04-24,126.855026352913,107.854769010228,138,49,23,88.779437262345
2020-04-25,137.194407156574,116.651917766103,111,12,0,96.0212121681241
2020-04-26,148.377335606087,126.166027181842,293,8,0,103.851098939108
2020-04-27,160.472255076777,136.455684132281,190,0,102,112.317440046557
2020-04-28,173.55322931256,147.584196901128,206,201,316,121.47233503109
2020-04-29,187.700184199914,159.619840435309,125,14,171,131.371879481377
2020-04-30,202.99969412542,172.636515037115,76,2,98,142.076680283182
2020-05-01,219.545419301629,186.714156057442,223,73,205,153.652222947494
2020-05-02,237.438597276669,201.939169853253,384,89,0,166.169234879625
2020-05-03,256.788701265221,218.404993826459,427,106,0,179.704125354294
2020-05-04,277.71407419512,236.212656750458,349,69,0,194.339448152703
2020-05-05,300.342624160722,255.471380456148,206,37,163,210.164381288434
2020-05-06,324.812606913798,276.299255338763,428,74,0,227.275261730646
2020-05-07,351.273449006248,298.82396108306,448,389,0,245.776164541684
2020-05-08,379.886637540007,323.183535628124,338,89,0,265.779505547973
2020-05-09,410.826681429632,349.527211821386,224,0,57,287.406699899497
2020-05-10,444.28214741893,378.016322782085,381,49,0,310.788874371044
2020-05-11,480.45676099945,408.82526048843,310,60,0,336.067611581773
2020-05-12,519.570620156443,442.142538611884,406,383,0,363.395775874013
2020-05-13,561.861496787852,478.171934100267,359,346,130,392.938395111701
2020-05-14,607.586217588901,517.133700699693,472,187,0,424.873591073932
2020-05-15,657.022140575067,559.265870973431,425,473,NA,459.39357294921
2020-05-16,710.468823811179,604.825731811004,438,408,NA,496.705755123638
2020-05-17,768.249721207547,654.091329353376,0,0,NA,537.033889364856
2020-05-18,830.714000678123,707.363089594268,721,559,NA,580.61927402066
2020-05-19,898.23857629307,764.96563281767,500,265,NA,627.722094648724
2020-05-20,971.230254740429,827.249702427302,NA,NA,NA,678.622838803669
2020-05-21,1050.12801271425,894.594220967705,NA,NA,NA,733.623786770246
2020-05-22,1135.40545019048,967.40851418527,NA,NA,NA,793.050603887197
2020-05-23,1227.57341671128,1046.13470785025,NA,NA,NA,857.254037724002
2020-05-24,1327.18281720691,1131.2503034266,NA,NA,NA,926.61171515517
2020-05-25,1434.82760827756,1223.27094718488,NA,NA,NA,1001.53004448355
2020-05-26,1551.14799240631,1322.75340577568,NA,NA,NA,1082.44622611294
2020-05-27,1676.83382086379,1430.29876146241,NA,NA,NA,1169.83036991621
2020-05-28,1812.6282123724,1546.55584143525,NA,NA,NA,1264.18772076082
2020-05-29,1959.33139495849,1672.22489583077,NA,NA,NA,1366.06099044346
2020-05-30,NA,NA,NA,NA,NA,NA
