"Date","Predicted_Infected","Predicted_recovered","Actual_Infected"
2020-04-01,14,144,152
2020-04-02,14.2737305197236,143.870201765992,152
2020-04-03,14.5469283815864,143.740806591265,219
2020-04-04,14.8195949206353,143.611813542851,386
2020-04-05,15.091731304346,143.483221804801,445
2020-04-06,15.3633390862936,143.355030291352,503
2020-04-07,15.6344195383166,143.227238113684,523
2020-04-08,15.9049739848405,143.09984434625,576
2020-04-09,16.1750037473106,142.972848065617,669
2020-04-10,16.4445101435665,142.846248350907,720
2020-04-11,16.7134944885565,142.720044283287,903
2020-04-12,16.98195809408,142.59423494616,1069
2020-04-13,17.2499022687732,142.468819425167,1154
2020-04-14,17.5173283181382,142.343796808171,1561
2020-04-15,17.7842375445517,142.219166185248,NA
2020-04-16,18.050631247272,142.094926648686,NA
2020-04-17,18.3165107224458,141.971077292976,NA
2020-04-18,18.5818772631167,141.847617214808,NA
2020-04-19,18.8467321592324,141.724545513066,NA
2020-04-20,19.1110766976519,141.601861288822,NA
2020-04-21,19.3749121621533,141.479563645332,NA
2020-04-22,19.6382398334409,141.357651688029,NA
2020-04-23,19.9010609891532,141.23612452452,NA
2020-04-24,20.1633769038697,141.114981264577,NA
