"Date","Predicted_Infected_non_cum","Predicted_recovered_non_cum","Actual_Infected_Non_cum","Actual_Recoverd_Non_cum"
2020-04-01,0.259621877792013,0,0,0
2020-04-02,0.258872652380076,0,67,2
2020-04-03,0.258126185243118,0,167,0
2020-04-04,0.257382126420563,0,59,7
2020-04-05,0.256641269395493,0,58,3
2020-04-06,0.255903029265777,0,20,1
2020-04-07,0.255167511597058,0,53,2
2020-04-08,0.254434707344624,0,93,0
2020-04-09,0.253704605577827,0,51,4
2020-04-10,0.252977197546929,0,183,0
2020-04-11,0.252252473729392,0,166,0
2020-04-12,0.251530424570589,0,NA,NA
2020-04-13,0.250811040615513,0,NA,NA
2020-04-14,0.250094312445903,0,NA,NA
2020-04-15,0.249380230674575,0,NA,NA
2020-04-16,0.248668785947309,0,NA,NA
2020-04-17,0.247959968944308,0,NA,NA
2020-04-18,0.247253770378684,0,NA,NA
2020-04-19,0.246550180996561,0,NA,NA
2020-04-20,0.245849191577005,0,NA,NA
2020-04-21,0.245150792931884,0,NA,NA
2020-04-22,NA,NA,NA,NA
