"Date","Predicted_Infected_non_cum","Predicted_recovered_non_cum","Actual_Infected_Non_cum","Actual_Recoverd_Non_cum"
2020-03-31,0,87.0870870491117,2,0
2020-04-01,6.04868197736599e-15,0,10,0
2020-04-02,1.2096314782892e-17,0,0,0
2020-04-03,2.41185151435742e-20,0,61,5
2020-04-04,4.80889569919691e-23,0,53,0
2020-04-05,9.58826752379518e-26,0,0,0
2020-04-06,1.91176685574756e-28,0,78,2
2020-04-07,3.81179655414393e-31,0,21,0
2020-04-08,7.60019085295602e-34,0,35,6
2020-04-09,1.51537208713198e-36,0,49,4
2020-04-10,3.02144065442252e-39,0,21,1
2020-04-11,6.02433138780244e-42,0,21,13
2020-04-12,1.20116768190916e-44,0,31,1
2020-04-13,2.39496087977571e-47,0,174,3
2020-04-14,4.77521806665155e-50,0,3,1
2020-04-15,9.5211190196359e-53,0,75,1
2020-04-16,1.89837838023593e-55,0,111,23
2020-04-17,3.78510180060125e-58,0,3,8
2020-04-18,7.54696523637347e-61,0,120,4
2020-04-19,1.50475964133926e-63,0,115,22
2020-04-20,3.00028091718826e-66,0,100,32
2020-04-21,5.98214167098638e-69,0,110,0
2020-04-22,1.1927564232502e-71,0,155,33
2020-04-23,2.39245440382357e-74,0,61,33
2020-04-24,4.79872037075679e-77,0,111,41
2020-04-25,9.62514447510845e-80,0,222,42
2020-04-26,1.93058563484018e-82,0,25,0
2020-04-27,3.87231682922225e-85,0,87,46
2020-04-28,7.7669891225409e-88,0,98,127
2020-04-29,1.55788182347448e-90,0,81,48
2020-04-30,3.12475753159756e-93,0,69,3
2020-05-01,6.26755475561146e-96,0,125,141
2020-05-02,1.25712930418951e-98,0,159,35
2020-05-03,2.52151620386418e-101,0,158,65
2020-05-04,5.05758949780172e-104,0,121,48
2020-05-05,1.01443772159152e-106,0,114,185
2020-05-06,2.0347319437847e-109,0,118,143
2020-05-07,4.0812106993214e-112,0,73,120
2020-05-08,8.18598283819556e-115,0,143,137
2020-05-09,1.6419224579119e-117,0,159,112
2020-05-10,3.29332397971209e-120,0,94,154
2020-05-11,6.60566104802842e-123,0,106,105
2020-05-12,1.32494452651124e-125,0,91,115
2020-05-13,2.63512117564504e-128,0,65,29
2020-05-14,5.24066532613672e-131,0,173,170
2020-05-15,1.04225066722073e-133,0,155,93
2020-05-16,2.07280256373782e-136,0,201,276
2020-05-17,4.12233889930878e-139,0,0,0
2020-05-18,8.19840649468171e-142,0,347,342
2020-05-19,1.63047897551476e-144,0,321,135
2020-05-20,3.24265659601245e-147,0,NA,NA
2020-05-21,6.44891590584033e-150,0,NA,NA
2020-05-22,1.28254457816681e-152,0,NA,NA
2020-05-23,2.5506932001494e-155,0,NA,NA
2020-05-24,5.0727560758128e-158,0,NA,NA
2020-05-25,1.00885728649043e-160,0,NA,NA
2020-05-26,2.00639062720109e-163,0,NA,NA
2020-05-27,3.99026046876988e-166,0,NA,NA
2020-05-28,7.93573215151076e-169,0,NA,NA
2020-05-29,1.57823894638152e-171,0,NA,NA
2020-05-30,NA,NA,NA,NA
