Date,Name of State/UT,Total Confirmed cases (Indian National),Total Confirmed cases (Foreign National),Cured/Discharged/Migrated,Death,Total Confirmed cases
10-03-2020,Delhi,4,0,0,0,4
10-03-2020,Haryana,0,14,0,0,14
10-03-2020,Jammu and Kashmir,1,0,0,0,1
10-03-2020,Karnataka,1,0,0,0,1
10-03-2020,Kerala,9,0,0,0,9
10-03-2020,Ladakh,2,0,0,0,2
10-03-2020,Maharashtra,2,0,0,0,2
10-03-2020,Punjab,1,0,0,0,1
10-03-2020,Rajasthan,0,2,0,0,2
10-03-2020,Tamil Nadu,1,0,0,0,1
10-03-2020,Telengana,1,0,0,0,1
10-03-2020,Uttar Pradesh,9,0,0,0,9
11-03-2020,Delhi,5,0,0,0,5
11-03-2020,Haryana,0,14,0,0,14
11-03-2020,Jammu and Kashmir,1,0,0,0,1
11-03-2020,Karnataka,4,0,0,0,4
11-03-2020,Kerala,17,0,0,0,17
11-03-2020,Ladakh,2,0,0,0,2
11-03-2020,Maharashtra,2,0,0,0,2
11-03-2020,Punjab,1,0,0,0,1
11-03-2020,Rajasthan,1,2,0,0,3
11-03-2020,Tamil Nadu,1,0,0,0,1
11-03-2020,Telengana,1,0,0,0,1
11-03-2020,Uttar Pradesh,9,0,0,0,9
12-03-2020,Delhi,6,0,0,0,6
12-03-2020,Haryana,0,14,0,0,14
12-03-2020,Jammu and Kashmir,1,0,0,0,1
12-03-2020,Karnataka,4,0,0,0,4
12-03-2020,Kerala,17,0,0,0,17
12-03-2020,Ladakh,3,0,0,0,3
12-03-2020,Maharashtra,11,0,0,0,11
12-03-2020,Punjab,1,0,0,0,1
12-03-2020,Rajasthan,1,2,0,0,3
12-03-2020,Tamil Nadu,1,0,0,0,1
12-03-2020,Telengana,1,0,0,0,1
12-03-2020,Uttar Pradesh,10,1,0,0,11
13-03-2020,Andhra Pradesh,1,0,0,0,1
13-03-2020,Delhi,7,0,1,1,7
13-03-2020,Haryana,0,14,0,0,14
13-03-2020,Jammu and Kashmir,1,0,0,0,1
13-03-2020,Karnataka,6,0,0,1,6
13-03-2020,Kerala,19,0,3,0,19
13-03-2020,Ladakh,3,0,0,0,3
13-03-2020,Maharashtra,14,0,0,0,14
13-03-2020,Punjab,1,0,0,0,1
13-03-2020,Rajasthan,1,2,1,0,3
13-03-2020,Tamil Nadu,1,0,0,0,1
13-03-2020,Telengana,1,0,0,0,1
13-03-2020,Uttar Pradesh,10,1,5,0,11
14-03-2020,Andhra Pradesh,1,0,0,0,1
14-03-2020,Delhi,7,0,1,1,7
14-03-2020,Haryana,0,14,0,0,14
14-03-2020,Jammu and Kashmir,2,0,0,0,2
14-03-2020,Karnataka,6,0,0,1,6
14-03-2020,Kerala,19,0,3,0,19
14-03-2020,Ladakh,3,0,0,0,3
14-03-2020,Maharashtra,14,0,0,0,14
14-03-2020,Punjab,1,0,0,0,1
14-03-2020,Rajasthan,1,2,1,0,3
14-03-2020,Tamil Nadu,1,0,0,0,1
14-03-2020,Telengana,1,0,0,0,1
14-03-2020,Uttar Pradesh,11,1,5,0,12
15-03-2020,Andhra Pradesh,1,0,0,0,1
15-03-2020,Delhi,7,0,2,1,7
15-03-2020,Haryana,0,14,0,0,14
15-03-2020,Jammu and Kashmir,2,0,0,0,2
15-03-2020,Karnataka,6,0,0,1,6
15-03-2020,Kerala,22,0,3,0,22
15-03-2020,Ladakh,3,0,0,0,3
15-03-2020,Maharashtra,32,0,0,0,32
15-03-2020,Punjab,1,0,0,0,1
15-03-2020,Rajasthan,2,2,3,0,4
15-03-2020,Tamil Nadu,1,0,0,0,1
15-03-2020,Telengana,3,0,1,0,3
15-03-2020,Uttar Pradesh,12,1,4,0,13
15-03-2020,Uttarakhand,1,0,0,0,1
16-03-2020,Andhra Pradesh,1,0,0,0,1
16-03-2020,Delhi,7,0,2,1,7
16-03-2020,Haryana,0,14,0,0,14
16-03-2020,Jammu and Kashmir,3,0,0,0,3
16-03-2020,Karnataka,6,0,0,1,6
16-03-2020,Kerala,23,0,3,0,23
16-03-2020,Ladakh,4,0,0,0,4
16-03-2020,Maharashtra,32,0,0,0,32
16-03-2020,Odisha,1,0,0,0,1
16-03-2020,Punjab,1,0,0,0,1
16-03-2020,Rajasthan,2,2,3,0,4
16-03-2020,Tamil Nadu,1,0,0,0,1
16-03-2020,Telengana,3,0,1,0,3
16-03-2020,Uttar Pradesh,12,1,4,0,13
16-03-2020,Uttarakhand,1,0,0,0,1
17-03-2020,Andhra Pradesh,1,0,0,0,1
17-03-2020,Delhi,8,0,2,1,8
17-03-2020,Haryana,1,14,0,0,15
17-03-2020,Jammu and Kashmir,3,0,0,0,3
17-03-2020,Karnataka,11,0,0,1,11
17-03-2020,Kerala,24,2,3,0,26
17-03-2020,Ladakh,6,0,0,0,6
17-03-2020,Maharashtra,36,3,0,1,39
17-03-2020,Odisha,1,0,0,0,1
17-03-2020,Punjab,1,0,0,0,1
17-03-2020,Rajasthan,2,2,3,0,4
